How many people do you know?,Do you believe in Climate Change?,After how many years do you replace your phone?,What colour is your car?
1,Yes,4,Blue
2,Yes,8,Red
3,Yes,1,Green
4,No,3,Gray
5,Yes,4,White
6,No,2,Black
7,Yes,8,Orange
8,Yes,7,Purple
9,Yes,7,Yellow
10,Yes,8,Green
11,Yes,10,Gray
12,No,8,White
13,Yes,5,Orange
14,No,10,Purple
15,Yes,2,Blue
16,Yes,2,Red
17,No,3,Green
18,Yes,9,Gray
19,Yes,7,White
20,Yes,9,Green
21,Yes,2,Gray
22,Yes,4,White
23,Yes,4,Black
24,Yes,1,Orange
25,Yes,9,Purple
26,Yes,3,Blue
27,Yes,4,Red
28,Yes,3,White
29,Yes,3,White
30,No,7,Green
31,Yes,7,Gray
32,Yes,1,White
33,Yes,3,Black
34,Yes,8,Orange
35,Yes,2,Gray
36,Yes,8,White
37,Yes,10,Black
38,Yes,6,Red
39,Yes,7,White
40,No,3,Red
41,Yes,6,White
42,Yes,3,Gray
43,Yes,1,White
44,Yes,2,Green
45,Yes,5,Gray
46,Yes,4,White
47,Yes,5,Black
48,Yes,3,Orange
49,Yes,3,Purple
50,Yes,1,Blue
51,Yes,1,Red
52,Yes,7,White
53,No,10,Orange
54,Yes,2,Purple
55,No,3,Blue
56,Yes,2,Red
57,Yes,4,Green
58,Yes,5,Gray
59,Yes,8,White
60,Yes,6,Black
61,No,9,Orange
62,Yes,2,Purple
63,No,9,Yellow
64,Yes,3,Green
65,Yes,5,Gray
66,No,5,White
67,Yes,9,Orange
68,Yes,8,Purple
69,Yes,5,Blue
70,Yes,5,Red
71,Yes,4,Green
72,Yes,10,Gray
73,Yes,5,White
74,Yes,5,Green
75,Yes,4,Gray
76,Yes,8,White
77,Yes,3,Black
78,Yes,4,Orange
79,No,10,Purple
80,Yes,5,Blue
81,Yes,8,Red
82,Yes,5,White
83,Yes,7,White
84,Yes,3,Green
85,Yes,7,Gray
86,Yes,4,White
87,Yes,2,Black
88,Yes,1,Orange
89,No,7,Gray
90,Yes,8,White
91,Yes,10,Black
92,Yes,6,Red
93,Yes,1,White
94,Yes,3,Red
95,Yes,6,White
96,Yes,2,Gray
97,Yes,8,White
98,Yes,4,Green
99,Yes,2,Gray
100,Yes,7,White
101,Yes,9,Black
102,No,6,Orange
103,Yes,1,Purple
104,No,4,Blue
105,Yes,2,Red
106,Yes,9,White
107,Yes,2,Orange
108,Yes,3,Purple
109,Yes,6,White
110,No,10,Green
111,Yes,4,Gray
112,No,6,White
113,Yes,7,Black
114,Yes,10,Orange
115,No,9,Gray
116,Yes,2,White
117,Yes,6,Black
118,Yes,10,Red
119,Yes,10,White
120,Yes,5,Red
121,Yes,10,White
122,Yes,3,Gray
123,Yes,7,White
124,Yes,7,Green
125,Yes,3,Gray
126,Yes,3,White
127,Yes,2,Black
128,No,6,Orange
129,Yes,9,Purple
130,Yes,7,Blue
131,Yes,10,Red
132,Yes,6,White
133,Yes,5,Orange
134,Yes,7,Purple
135,Yes,5,Blue
136,Yes,10,Red
137,Yes,5,Green
138,No,2,Gray
139,Yes,3,White
140,Yes,8,Black
141,Yes,4,Orange
142,Yes,7,Purple
143,Yes,4,Yellow
144,Yes,7,Green
145,Yes,1,Gray
146,Yes,3,White
147,Yes,9,Orange
148,Yes,2,Purple
149,Yes,8,Blue
150,Yes,4,Red
151,No,1,Green
152,Yes,7,Gray
153,No,7,White
154,Yes,6,Green
155,Yes,5,Gray
156,Yes,5,White
157,Yes,2,Purple
158,Yes,6,Blue
159,No,5,Red
160,Yes,1,White
161,No,6,Orange
162,Yes,9,Purple
163,Yes,7,White
164,No,10,Green
165,Yes,10,Gray
166,Yes,5,White
167,Yes,10,Blue
168,Yes,4,Red
169,Yes,10,Green
170,Yes,3,Gray
171,Yes,10,White
172,Yes,2,Black
173,Yes,3,Orange
174,Yes,5,Purple
175,Yes,3,Yellow
176,Yes,10,Green
177,No,7,Gray
178,Yes,5,White
179,Yes,4,Orange
180,Yes,5,Purple
181,Yes,2,Blue
182,Yes,9,Red
183,Yes,2,Green
184,Yes,7,Gray
185,Yes,3,White
186,Yes,2,Green
187,No,2,Gray
188,Yes,9,White
189,Yes,9,Black
190,Yes,6,Orange
191,Yes,9,Purple
192,Yes,10,Blue
193,Yes,4,Red
194,Yes,2,White
195,Yes,7,White
196,Yes,6,Green
197,Yes,3,Gray
198,Yes,10,White
199,Yes,2,Black
200,No,4,Orange
201,Yes,5,Gray
202,No,2,White
203,Yes,4,Black
204,Yes,3,Red
205,Yes,9,White
206,Yes,4,Red
207,Yes,10,White
208,No,7,Gray
209,Yes,4,White
210,No,3,Green
211,Yes,1,Gray
212,Yes,10,White
213,No,1,Black
214,Yes,3,Orange
215,Yes,7,Purple
216,Yes,5,Blue
217,Yes,7,Red
218,Yes,5,White
219,Yes,8,Orange
220,Yes,8,Purple
221,Yes,6,Blue
222,Yes,2,Red
223,Yes,8,Green
224,Yes,4,Gray
225,Yes,1,White
226,No,8,Black
227,Yes,10,Orange
228,Yes,9,Purple
229,Yes,5,Yellow
230,Yes,9,Green
231,Yes,3,Gray
232,Yes,2,White
233,Yes,9,Orange
234,Yes,5,Purple
235,Yes,9,Blue
236,No,9,Red
237,Yes,3,Green
238,Yes,6,Gray
239,Yes,8,White
240,Yes,9,Green
241,Yes,1,Gray
242,Yes,8,White
243,Yes,5,Black
244,Yes,4,Orange
245,Yes,4,Purple
246,Yes,4,Blue
247,Yes,1,Red
248,Yes,3,White
249,No,7,White
250,Yes,9,Green
251,No,10,Gray
252,Yes,5,White
253,Yes,10,Black
254,Yes,9,Orange
255,Yes,1,Gray
256,Yes,5,White
257,No,8,Black
258,Yes,10,Red
259,No,2,White
260,Yes,10,Red
261,Yes,6,White
262,No,6,Gray
263,Yes,9,White
264,Yes,8,Green
265,Yes,2,Gray
266,Yes,2,White
267,Yes,10,Black
268,Yes,4,Orange
269,Yes,9,Purple
270,Yes,10,Blue
271,Yes,3,Red
272,Yes,6,White
273,Yes,1,Orange
274,Yes,9,Purple
275,No,2,White
276,Yes,9,Green
277,Yes,3,Gray
278,Yes,4,White
279,Yes,10,Black
280,Yes,5,Orange
281,Yes,5,Gray
282,Yes,4,White
283,Yes,2,Black
284,Yes,7,Red
285,No,6,White
286,Yes,3,Red
287,Yes,10,White
288,Yes,3,Gray
289,Yes,6,White
290,Yes,8,Green
291,Yes,10,Gray
292,Yes,6,White
293,Yes,4,Black
294,Yes,10,Orange
295,Yes,2,Purple
296,Yes,4,Blue
297,Yes,8,Red
298,No,1,White
299,Yes,5,Orange
300,No,2,Purple
301,Yes,8,Blue
302,Yes,3,Red
303,Yes,4,Green
304,Yes,2,Gray
305,Yes,4,White
306,No,10,Black
307,Yes,5,Orange
308,No,7,Purple
309,Yes,4,Yellow
310,Yes,2,Green
311,No,7,Gray
312,Yes,5,White
313,Yes,8,Orange
314,Yes,9,Purple
315,Yes,9,Blue
316,Yes,5,Red
317,Yes,8,Green
318,Yes,7,Gray
319,Yes,1,White
320,Yes,3,Green
321,Yes,4,Gray
322,Yes,4,White
323,Yes,7,Purple
324,No,6,Blue
325,Yes,10,Red
326,Yes,9,White
327,Yes,10,Orange
328,Yes,9,Purple
329,Yes,3,White
330,Yes,5,Green
331,Yes,1,Gray
332,Yes,9,White
333,Yes,8,
334,No,6,
335,Yes,8,
336,Yes,2,
337,Yes,2,
338,Yes,7,
339,Yes,6,
340,Yes,3,
341,Yes,4,
342,Yes,9,
343,Yes,1,
344,Yes,10,
345,Yes,10,
346,Yes,7,
347,No,6,
348,Yes,5,
349,No,4,
350,Yes,3,
351,Yes,2,
352,Yes,6,
353,Yes,4,
354,Yes,5,
355,No,9,
356,Yes,7,
357,No,10,
358,Yes,4,
359,Yes,8,
360,No,4,
361,Yes,1,
362,Yes,5,
363,Yes,7,
364,Yes,4,
365,Yes,5,
366,Yes,7,
367,Yes,6,
368,Yes,10,
369,Yes,8,
370,Yes,3,
371,Yes,8,
372,Yes,5,
373,No,6,
374,Yes,1,
375,Yes,5,
376,Yes,9,
377,Yes,7,
378,Yes,1,
379,Yes,8,
380,Yes,1,
381,Yes,2,
382,Yes,8,
383,No,9,
384,Yes,8,
385,Yes,6,
386,Yes,4,
387,Yes,4,
388,Yes,2,
389,Yes,1,
390,Yes,8,
391,Yes,1,
392,Yes,1,
393,Yes,5,
394,Yes,9,
395,Yes,9,
396,No,5,
397,Yes,3,
398,No,8,
399,Yes,1,
400,Yes,9,
401,Yes,10,
402,Yes,7,
403,Yes,7,
404,No,1,
405,Yes,7,
406,No,2,
407,Yes,10,
408,Yes,4,
409,No,3,
410,Yes,4,
411,Yes,7,
412,Yes,7,
413,Yes,5,
414,Yes,8,
415,Yes,3,
416,Yes,5,
417,Yes,3,
418,Yes,5,
419,Yes,8,
420,Yes,2,
421,Yes,8,
422,No,5,
423,Yes,7,
424,Yes,7,
425,Yes,3,
426,Yes,3,
427,Yes,7,
428,Yes,4,
429,Yes,6,
430,Yes,3,
431,Yes,1,
432,No,10,
433,Yes,4,
434,Yes,5,
435,Yes,5,
436,Yes,6,
437,Yes,3,
438,Yes,4,
439,Yes,1,
440,Yes,2,
439,Yes,9,
438,Yes,9,
437,Yes,5,
436,Yes,3,
435,No,4,
434,Yes,7,
433,No,9,
432,Yes,3,
431,Yes,5,
430,Yes,9,
429,Yes,9,
428,Yes,8,
427,No,2,
426,Yes,6,
425,No,9,
424,Yes,5,
423,Yes,8,
422,No,4,
421,Yes,9,
420,Yes,6,
419,Yes,3,
418,Yes,3,
417,Yes,9,
416,Yes,1,
415,Yes,6,
414,Yes,2,
413,Yes,6,
412,Yes,1,
411,Yes,9,
410,Yes,10,
409,No,3,
408,Yes,8,
407,Yes,7,
406,Yes,6,
405,Yes,4,
404,Yes,10,
403,Yes,3,
402,Yes,2,
401,Yes,5,
400,Yes,2,
399,No,8,
398,Yes,8,
397,Yes,2,
396,Yes,1,
395,Yes,4,
394,Yes,9,
393,Yes,4,
392,Yes,3,
391,Yes,4,
390,Yes,5,
389,Yes,3,
388,Yes,4,
387,Yes,8,
386,No,7,
385,Yes,5,
384,No,2,
383,Yes,7,
382,Yes,2,
381,Yes,7,
380,Yes,6,
379,Yes,2,
378,No,2,
377,Yes,1,
376,No,10,
375,Yes,3,
374,Yes,8,
373,No,1,
372,Yes,3,
371,Yes,10,
370,Yes,9,
369,Yes,3,
368,Yes,2,
367,Yes,3,
366,Yes,2,
365,Yes,4,
364,Yes,8,
363,Yes,10,
362,Yes,1,
361,Yes,5,
360,No,1,
359,Yes,9,
358,Yes,3,
357,Yes,1,
356,Yes,1,
355,Yes,8,
354,Yes,8,
353,Yes,9,
352,Yes,7,
351,Yes,3,
350,No,4,
349,Yes,6,
,Yes,9,
,Yes,10,
,Yes,9,
,Yes,5,
,Yes,1,
,Yes,6,
,Yes,7,
,Yes,5,
,Yes,9,
,Yes,8,
,Yes,7,
,No,7,
,Yes,7,
,No,10,
,Yes,8,
,Yes,4,
,Yes,3,
,Yes,7,
,Yes,6,
,No,8,
,Yes,6,
,No,6,
,Yes,10,
,Yes,2,
,No,6,
,Yes,4,
,Yes,5,
,Yes,7,
,Yes,9,
,Yes,6,
,Yes,1,
,Yes,1,
,Yes,5,
,Yes,7,
,Yes,9,
,Yes,5,
,Yes,9,
,No,5,
,Yes,2,
,Yes,8,
,Yes,7,
,Yes,9,
,Yes,5,
,Yes,7,
,Yes,9,
,Yes,10,
,Yes,8,
,No,9,
,Yes,4,
,Yes,8,
,Yes,9,
,Yes,1,
,Yes,3,
,Yes,10,
,Yes,6,
,Yes,8,
,Yes,8,
,,4,
,,7,
,,10,
,,9,
,,3,
,,10,
,,3,
,,6,
,,4,
,,2,
,,5,
,,4,
,,1,
,,7,
,,5,
,,1,
,,7,
,,8,
,,4,
,,1,
,,7,
,,4,
,,1,
,,6,
,,8,
,,1,
,,1,
,,3,
,,7,
,,4,
,,1,
,,1,
,,2,
,,6,
,,6,
,,6,
,,3,
,,2,
,,7,
,,5,
,,7,
,,9,
,,7,
,,8,
,,4,
,,2,
,,10,
,,4,
,,7,
,,7,
,,6,
,,6,
,,7,
,,4,
,,9,
,,10,
,,2,
,,6,
,,2,
,,1,
,,3,
,,10,
,,7,
,,7,
,,9,
,,10,
,,3,
,,1,
,,2,
,,5,
,,1,
,,10,
,,8,
,,8,
,,5,
,,1,
,,9,
,,2,
,,3,
,,3,
,,3,
,,4,
,,9,
,,3,
,,6,
,,9,
,,1,
,,7,
,,3,
,,1,
,,7,
,,1,
,,7,
,,9,
,,6,
,,4,
,,7,
,,9,
,,4,
,,1,
,,2,
,,1,
,,2,
,,9,
,,2,
,,6,
,,2,
,,9,
,,6,
,,5,
,,2,
,,7,
,,3,
,,10,
,,10,
,,3,
,,2,
,,5,
,,8,
,,1,
,,7,
,,2,
,,8,
,,4,
,,2,
,,6,
,,1,
,,4,
,,7,
,,1,
,,9,
,,8,
,,2,
,,4,
,,5,
,,6,
,,6,
,,7,
,,9,
,,5,
,,8,
,,2,
,,10,
,,9,
,,10,
,,3,
,,10,
,,10,
,,9,
,,8,
,,4,
,,2,
,,9,
,,4,
,,3,
,,2,
,,4,
,,1,
,,4,
,,6,
,,9,
,,8,
,,3,
,,1,
,,4,
,,4,
,,5,
,,8,
,,4,
,,2,
,,9,
,,8,
,,3,
,,9,
,,3,
,,7,
,,3,
,,9,
,,6,
,,10,
,,8,
,,1,
,,6,
,,9,
,,1,
,,3,
,,8,
,,2,
,,3,
,,7,
,,8,
,,1,
,,2,
,,4,
,,3,
,,7,
,,5,
,,5,
,,6,
,,2,
,,5,
,,2,
,,7,
,,5,
,,4,
,,9,
,,9,
,,1,
,,6,
,,2,
,,5,
,,6,
,,9,
,,7,
,,4,
,,10,
,,8,
,,3,
,,2,
,,9,
,,7,
,,5,
,,10,
,,7,
,,9,
,,4,
,,10,
,,6,
,,1,
,,8,
,,2,
,,6,
,,6,
,,10,
,,1,
,,5,
,,3,
,,3,
,,4,
,,3,
,,8,
,,3,
,,1,
,,1,
,,5,
,,7,
,,2,
,,6,
,,10,
,,5,
,,1,
,,10,
,,7,
,,8,
,,9,
,,2,
,,7,
,,1,
,,2,
,,5,
,,5,
,,3,
,,3,
,,2,
,,8,
,,4,
,,10,
,,8,
,,10,
,,4,
,,6,
,,3,
,,1,
,,10,
,,7,
,,6,
,,5,
,,8,
,,8,
,,5,
,,7,
,,10,
,,7,
,,2,
,,4,
,,6,
,,2,
,,1,
,,10,
,,10,
,,3,
,,7,
,,3,
,,6,
,,4,
,,5,
,,8,
,,10,
,,5,
,,10,
,,10,
,,4,
,,10,
,,7,
,,5,
,,9,
,,6,
,,10,
,,7,
,,9,
,,2,
,,4,
,,5,
,,3,
,,4,
,,10,
,,3,
,,8,
,,5,
,,3,
,,7,
,,3,
,,7,
,,8,
,,8,
,,9,
,,7,
,,4,
,,3,
,,9,
,,5,
,,1,
,,10,
,,4,
,,3,
,,2,
,,10,
,,7,
,,7,
,,6,
,,5,
,,1,
,,4,
,,9,
,,4,
,,7,
,,9,
,,8,
,,5,
,,5,
,,7,
,,2,
,,6,
,,8,
,,4,
,,3,
,,3,
,,7,
,,8,
,,4,
,,8,
,,9,
,,2,
,,7,
,,6,
,,5,
,,7,
,,9,
,,7,
,,4,
,,3,
,,8,
,,5,
,,3,
,,1,
,,10,
,,8,
,,1,
,,3,
,,4,
,,10,
,,3,
,,8,
,,9,
,,4,
,,3,
,,10,
,,5,
,,5,
,,9,
,,8,
,,9,
,,4,
,,8,
,,2,
,,4,
,,8,
,,4,
